murder,rape,gangrape,robbery,theft,assualt murders,sexual harassement,totarea,totalcrime,long,lat,crime/area,area,crime_density,weighted_crime_score,area_encoded
0.2,0.13953488372093023,0.16666666666666666,0.272,0.325487012987013,0.26865671641791045,0.17500000000000002,0.025590606209587044,0.3282275711159737,77.2492,28.53632,192.5297308,CHITRANJAN PARK,0.23886118638004766,0.23786407766990295,0.00019252973084997552
0.8,0.6511627906976745,0.0,0.624,0.16152597402597402,0.373134328358209,0.4,0.03624835683733122,0.24434719183078044,77.086,28.61268,116.7299125,DABRI,0.1426233388102925,0.7475728155339807,0.00011672991254064523
0.30000000000000004,0.6511627906976745,0.16666666666666666,0.256,0.5300324675324676,0.9253731343283581,0.375,0.007204962494477248,0.5652808169219548,77.20418,28.52989,606.5861022,MALVIYA NAGAR,0.7645602559923238,0.7184466019417477,0.0006065861023114415
0.1,0.18604651162790697,0.16666666666666666,0.176,0.3961038961038961,0.26865671641791045,0.17500000000000002,0.06742597506682257,0.3836615609044493,77.23608,28.64361,105.5523378,CHANDNI MAHAL,0.12843193629167016,0.2621359223300971,0.0001055523378168709
0.0,0.09302325581395349,0.16666666666666666,0.352,0.2857142857142857,0.11940298507462686,0.35000000000000003,0.026019218145586435,0.2946754194018964,77.19369,28.70257,173.2885009,MODEL TOWN,0.21443191208510162,0.33495145631067963,0.00017328850092072624
1.0,0.32558139534883723,0.0,0.784,0.33766233766233766,0.34328358208955223,0.375,0.05288780289959752,0.4062727935813275,77.29373,28.65335,135.776292,ANANDVIHAR,0.16680522475029255,0.5339805825242718,0.0001357762919736471
0.0,0.20930232558139533,0.5,0.128,0.24269480519480519,0.23880597014925375,0.30000000000000004,0.010769450420144574,0.24507658643326038,77.22618,28.66645,244.4852641,KASHMERE GATE,0.3048255752837897,0.39805825242718446,0.00024448526414643125
0.1,0.09302325581395349,0.5,0.24,0.5284090909090909,0.059701492537313425,0.125,0.1165992048583168,0.4952589350838804,77.26532,28.53067,82.40005852,GOVIND PURI,0.09903706997754144,0.19417475728155337,8.240005852027692e-05
0.4,0.09302325581395349,0.16666666666666666,0.504,0.3051948051948052,0.1492537313432836,0.2,0.02427937355249482,0.3260393873085339,77.06618,28.6091,198.2025868,BINDAPUR,0.24606362377473917,0.23786407766990295,0.00019173515504031994
0.6000000000000001,0.16279069767441862,0.16666666666666666,0.368,0.461038961038961,0.19402985074626866,0.25,0.04550778640573892,0.4609773887673231,77.2676,28.56234,171.5534385,NEW FRIENDS COLONY,0.21222902188872866,0.3300970873786408,0.00017155343845978076
